iter	Passed	Remaining
668	40252	260590
669	40304	260476
670	40359	260379
671	40416	260301
672	40466	260173
673	40515	260041
674	40574	259979
675	40633	259908
676	40689	259823
677	40746	259746
678	40800	259644
679	40856	259557
680	40904	259421
681	40954	259300
682	41004	259174
683	41056	259066
684	41115	258995
685	41166	258883
686	41221	258791
687	41277	258703
688	41333	258620
689	41396	258578
690	41443	258439
691	41498	258344
692	41551	258245
693	41603	258132
694	41654	258016
695	41699	257866
696	41751	257755
697	41809	257686
698	41862	257581
699	41917	257492
700	41970	257391
701	42024	257295
702	42078	257200
703	42132	257104
704	42184	256998
705	42241	256921
706	42294	256820
707	42342	256687
708	42395	256583
709	42441	256440
710	42496	256354
711	42547	256242
712	42602	256155
713	42660	256080
714	42720	256023
715	42776	255941
716	42827	255832
717	42879	255726
718	42936	255646
719	42995	255584
720	43051	255503
721	43105	255407
722	43157	255304
723	43206	255181
724	43258	255076
725	43312	254984
726	43370	254915
727	43425	254824
728	43475	254711
729	43525	254592
730	43572	254462
731	43632	254402
732	43679	254271
733	43737	254203
734	43794	254125
735	43842	254002
736	43895	253901
737	43956	253851
738	44008	253749
739	44059	253637
740	44109	253525
741	44160	253414
742	44219	253351
743	44272	253259
744	44328	253175
745	44377	253060
746	44437	253003
747	44492	252915
748	44545	252820
749	44620	252848
750	44679	252789
751	44725	252649
752	44774	252532
753	44823	252413
754	44879	252335
755	44930	252229
756	44987	252153
757	45040	252060
758	45091	251953
759	45141	251840
760	45192	251736
761	45239	251606
762	45300	251559
763	45352	251455
764	45407	251375
765	45455	251253
766	45520	251221
767	45569	251107
768	45625	251029
769	45679	250939
770	45738	250877
771	45791	250786
772	45845	250696
773	45894	250581
774	45943	250467
775	45997	250376
776	46051	250288
777	46105	250202
778	46158	250111
779	46222	250074
780	46279	250002
781	46332	249911
782	46385	249820
783	46435	249711
784	46488	249615
785	46539	249511
786	46595	249438
787	46657	249390
788	46708	249289
789	46760	249192
790	46817	249121
791	46871	249036
792	46930	248973
793	46980	248868
794	47034	248778
795	47087	248688
796	47138	248584
797	47188	248480
798	47242	248393
799	47299	248324
800	47351	248224
801	47403	248130
802	47453	248021
803	47507	247937
804	47557	247832
805	47609	247735
806	47657	247617
807	47714	247547
808	47765	247447
809	47818	247356
810	47871	247268
811	47931	247213
812	47987	247136
813	48038	247037
814	48098	246982
815	48146	246867
816	48205	246811
817	48258	246720
818	48316	246653
819	48369	246568
820	48422	246476
821	48474	246381
822	48529	246304
823	48583	246218
824	48639	246145
825	48689	246039
826	48744	245963
827	48795	245861
828	48843	245749
829	48895	245657
830	48946	245555
831	49001	245480
832	49056	245399
833	49107	245301
834	49157	245201
835	49208	245099
836	49259	245001
837	49306	244884
838	49361	244805
839	49419	244741
840	49470	244648
841	49519	244540
842	49580	244490
843	49630	244390
844	49679	244281
845	49730	244186
846	49793	244147
847	49847	244063
848	49899	243972
849	49949	243872
850	50003	243789
851	50057	243706
852	50109	243615
853	50164	243539
854	50219	243459
855	50273	243378
856	50322	243274
857	50371	243167
858	50422	243074
859	50481	243013
860	50534	242929
861	50584	242831
862	50648	242794
863	50701	242711
864	50750	242604
865	50805	242529
