iter	Accuracy	MultiClass
230	0.7373698613	0.5872782463
231	0.7374202501	0.5872157451
232	0.737412498	0.5871661172
233	0.7374280022	0.5871128699
234	0.7374318783	0.5870602603
235	0.7374861431	0.5869807071
236	0.7375326558	0.5869228218
237	0.7375869206	0.586854873
238	0.7376373094	0.5867610255
239	0.73767607	0.586704635
240	0.7377535912	0.5866647355
241	0.7377768475	0.5866225861
242	0.7377729715	0.5865705937
243	0.7378349884	0.586493267
244	0.7378659969	0.586441216
245	0.7379822787	0.5863800496
246	0.7380210392	0.5863222984
247	0.7379861547	0.5862747928
248	0.7380132871	0.5861904869
249	0.7380171632	0.5861266252
250	0.7379784026	0.5860907515
251	0.7380249153	0.5860392232
252	0.7380404195	0.5859904323
253	0.7381063125	0.5858844822
254	0.7380908083	0.5858312791
255	0.7381411971	0.5857732709
256	0.7381528253	0.5857312741
257	0.7381605774	0.5856879423
258	0.7381877098	0.5856475222
259	0.7381915859	0.5855783376
260	0.7382303464	0.5855155662
261	0.7382884873	0.5854046766
262	0.738335	0.5853094125
263	0.7383039916	0.5852553424
264	0.7382962394	0.5851941893
265	0.7382768592	0.5851467488
266	0.7383698846	0.5851011982
267	0.7383427522	0.5850441613
268	0.7383815127	0.5849783543
269	0.7383776367	0.5849350015
270	0.738400893	0.5848684004
271	0.7384280255	0.5848157294
272	0.73846291	0.5847248213
273	0.7384396536	0.5846849773
274	0.7385791918	0.584627333
275	0.7386722172	0.5845703335
276	0.7386528369	0.5845041322
277	0.7386877214	0.5844594952
278	0.7386567129	0.5844197938
279	0.7386915975	0.5843929023
280	0.7386838454	0.5843438163
281	0.7387381102	0.584270781
282	0.7387536144	0.5842237491
283	0.7387691187	0.5841246713
284	0.7388427638	0.5840936132
285	0.7388815244	0.5840410008
286	0.7388737723	0.5840002209
287	0.7389551695	0.5839585017
288	0.7389784259	0.5839245326
289	0.7390365667	0.5837799144
290	0.7390792034	0.5837417774
291	0.7390908316	0.5836965055
292	0.7391295922	0.5836151892
293	0.7391528485	0.583557989
294	0.7392575021	0.5835168288
295	0.7392768824	0.5834636128
296	0.7393078909	0.5834125623
297	0.7393311472	0.5833664401
298	0.7393350233	0.5833190216
299	0.7393311472	0.5832399291
300	0.7393544036	0.5831898547
301	0.7394086684	0.5831448222
302	0.7394358008	0.5830786038
303	0.7394358008	0.5830343241
304	0.7394396769	0.5829837944
305	0.7394629332	0.5829280008
306	0.7394745614	0.5828767257
307	0.7394202966	0.582825137
308	0.7393892881	0.5827913832
309	0.7393931642	0.5827367285
310	0.739443553	0.5826868799
311	0.7394784375	0.5826514609
312	0.7395365784	0.5825538441
313	0.7395714629	0.5825119757
314	0.7395675868	0.5824779149
315	0.739579215	0.5824290464
316	0.7395714629	0.582397313
317	0.7395830911	0.5823501677
318	0.7396489841	0.5823107349
319	0.7396528601	0.5822602806
320	0.7396489841	0.5822267591
321	0.739773018	0.5821647041
322	0.7397885222	0.5821248956
323	0.7398272828	0.5819859019
324	0.7397962743	0.5819492155
325	0.7398156546	0.5819154795
326	0.739776894	0.5818794099
327	0.7398040265	0.581785384
328	0.739842787	0.5817624061
329	0.7398776716	0.581738523
330	0.7399396885	0.581708074
331	0.7399241843	0.5816473263
332	0.7399241843	0.5816034925
333	0.7399551928	0.581541162
334	0.7400753506	0.5814950454
335	0.7400443421	0.5814648677
336	0.7400869788	0.5814264836
337	0.7400520942	0.581393393
338	0.7400637224	0.5813620329
339	0.7400327139	0.5813183835
340	0.7400831027	0.5812951911
341	0.7400831027	0.5812477067
342	0.7401606239	0.5812023229
343	0.740234269	0.5811195797
344	0.7402575254	0.5810798604
345	0.7402110127	0.5810354329
346	0.7402614014	0.5810050783
347	0.7402420211	0.5809779429
348	0.7402458972	0.5809497381
349	0.7402691535	0.5809070783
350	0.7402807817	0.5808697834
351	0.7403427987	0.580811152
352	0.7403427987	0.5807752508
353	0.7403738071	0.5807508472
354	0.7404009396	0.5807197854
355	0.7404164438	0.5806836554
356	0.7404513283	0.5806528851
357	0.7404397001	0.5806240151
358	0.740493965	0.580580839
359	0.7405482298	0.5805356429
360	0.7405443537	0.5804799516
361	0.7405366016	0.5804378832
362	0.7405327256	0.5803817765
363	0.7405443537	0.5803525447
364	0.7405792383	0.5802892354
365	0.7405908665	0.5802537485
366	0.7406102467	0.5802062095
367	0.740629627	0.5801561149
368	0.7406993961	0.5801094332
369	0.7406218749	0.5800732773
370	0.740625751	0.5800389627
371	0.7406606355	0.5799998744
372	0.7406722637	0.5799658741
373	0.7406955201	0.5799433392
374	0.7406683876	0.5799129959
375	0.740757537	0.5798759489
376	0.7407614131	0.5798342896
377	0.7408118018	0.5797976842
378	0.7408195539	0.5797643815
379	0.7408738188	0.5797304681
380	0.7408738188	0.579706169
381	0.7408660667	0.579663107
382	0.7408931991	0.5796275847
383	0.7408931991	0.5796094065
384	0.7409280836	0.5795895619
385	0.7409319597	0.57956158
386	0.7410017287	0.5795314751
387	0.7409939766	0.5794721671
388	0.740955216	0.5794434952
389	0.7409590921	0.5794199987
390	0.7410056048	0.5793846998
391	0.7410249851	0.5793291618
392	0.7410288611	0.5792907944
393	0.7410482414	0.5792559765
394	0.7410986302	0.5792130696
395	0.7411180105	0.5791533404
396	0.741087002	0.5791176214
397	0.741087002	0.579068558
398	0.7411257626	0.5790335607
399	0.7411412669	0.5790042062
400	0.7411645232	0.5789803472
401	0.7411994077	0.5789174606
402	0.7412459204	0.5788960303
403	0.7412730529	0.5788435258
404	0.7412885571	0.5787689235
405	0.7412963092	0.5787272495
406	0.741284681	0.5787086385
407	0.7413738304	0.5786460252
408	0.7413544501	0.5786225295
409	0.7414203431	0.5785903149
410	0.7414319713	0.5785635851
411	0.7414280952	0.578526587
412	0.7414746079	0.5784839674
413	0.7415017404	0.5784372043
414	0.7415521291	0.5783999614
415	0.7415870137	0.5783537833
416	0.7415211206	0.5783101858
417	0.7415249967	0.5782732155
418	0.7415637573	0.5782407832
419	0.741544377	0.5781992809
420	0.7415405009	0.5781872812
421	0.7416335264	0.5781516002
422	0.7416451545	0.5781260582
423	0.74173818	0.5780745749
424	0.7417226757	0.5780261217
425	0.7417149236	0.5780022725
426	0.7417459321	0.5779612632
427	0.7417149236	0.5779325576
428	0.7418001969	0.5779051982
429	0.7417808166	0.5778451286
430	0.7418157011	0.5778000394
431	0.7417769405	0.5777372597
432	0.741804073	0.5776941023
433	0.7418893463	0.577658328
434	0.7418854702	0.5776412942
435	0.7419009744	0.5776003469
436	0.7419281069	0.5775455849
437	0.7419746196	0.5774989892
438	0.7419939999	0.5774650143
439	0.7420095041	0.5774403019
440	0.7420250083	0.5774093008
441	0.7420986535	0.5773639391
442	0.7421257859	0.5773362517
443	0.7421257859	0.5772965011
444	0.7421257859	0.5772576515
445	0.7421064056	0.5772249956
446	0.7421219098	0.5772036677
447	0.7421645465	0.5771777383
448	0.7422071831	0.5771464639
449	0.7422692001	0.5771072255
450	0.7423273409	0.577049422
451	0.7423389691	0.5770210682
452	0.7423079607	0.5769907749
453	0.7422769522	0.5769513021
454	0.7423273409	0.5769064783
455	0.7424048621	0.5768741987
456	0.7424126142	0.5768548933
457	0.7425444003	0.5768171115
458	0.74252502	0.5768013192
459	0.7425366481	0.5767672861
460	0.742528896	0.5767222039
461	0.7425444003	0.5766877998
462	0.7425792848	0.5766738694
463	0.7425754087	0.5766475087
464	0.7425870369	0.5766064116
465	0.7426374257	0.5765715494
466	0.7426761863	0.576538679
467	0.742656806	0.5765125522
468	0.7427459553	0.5764674566
469	0.7427304511	0.5764568201
470	0.7427188229	0.5764017175
471	0.7427382032	0.5763634532
472	0.7427382032	0.576345738
473	0.7427537075	0.5763218767
474	0.7427847159	0.5762988886
475	0.7427653356	0.5762758507
476	0.7428002202	0.5762423499
477	0.7428002202	0.57622837
478	0.7427614596	0.5761954769
479	0.742726575	0.5761607325
480	0.7427071947	0.5761309003
481	0.7427769638	0.5761006835
482	0.7427847159	0.5760730383
483	0.7428040962	0.5760542754
484	0.7428002202	0.576032771
485	0.7427963441	0.5760065155
486	0.7428196005	0.5759663679
487	0.7428777413	0.5759147361
488	0.7428467329	0.5758792633
489	0.7429009977	0.5758580609
490	0.7428932456	0.5758165298
491	0.7428971216	0.5757872854
492	0.7429397583	0.5757664703
493	0.7429165019	0.5757348017
494	0.7428854935	0.575722521
495	0.7429048738	0.5756956344
496	0.7429513865	0.5756670428
497	0.7430211555	0.5756483351
498	0.7430134034	0.5756133507
499	0.7430172795	0.5755936067
500	0.7430172795	0.5755610901
501	0.7430366598	0.5755426293
502	0.7430560401	0.575506826
503	0.7430986767	0.5754722657
504	0.7430986767	0.5754459117
505	0.7431258091	0.5754184581
506	0.7431296852	0.5753801043
507	0.7432033303	0.5753507121
508	0.743180074	0.5753207662
509	0.7431529415	0.5752926459
510	0.7431645697	0.5752724099
511	0.7432149585	0.5752427519
512	0.7432692233	0.575223663
513	0.7432265867	0.5752070342
514	0.7432149585	0.5751665576
515	0.7432847276	0.5751332487
516	0.7432653473	0.5751065377
517	0.743249843	0.5750852058
518	0.7432575951	0.5750556947
519	0.7432653473	0.5750266818
520	0.7432575951	0.5750003514
521	0.743315736	0.5749769366
522	0.7433079839	0.5749684541
523	0.7433583727	0.5749387408
524	0.7433273642	0.5749070861
525	0.7433506206	0.5748876264
526	0.74331186	0.5748623619
527	0.7433544966	0.5748430742
528	0.7433428684	0.5748237892
529	0.7433351163	0.5747978208
530	0.7433700009	0.5747706638
531	0.743447522	0.5747418529
532	0.743443646	0.5747166081
533	0.743381629	0.5746837549
534	0.7433971333	0.5746663056
535	0.7433971333	0.574655633
536	0.7434010093	0.5746328004
537	0.7434010093	0.5746149796
538	0.7434785305	0.5745816729
539	0.7435405475	0.5745554237
540	0.7436064405	0.5745196108
541	0.7435521756	0.5744958979
542	0.7435909362	0.5744869566
543	0.7435560517	0.5744336832
544	0.743579308	0.5744090026
545	0.743579308	0.5743884141
546	0.7435715559	0.5743403891
547	0.7435986883	0.5743213087
548	0.7435831841	0.5742879887
549	0.7435909362	0.5742551306
550	0.7436568292	0.5741733931
551	0.7436296968	0.5741467264
552	0.743641325	0.5741272398
553	0.7436180686	0.574095762
554	0.7437692349	0.5740616242
555	0.743773111	0.5740289306
556	0.7438079955	0.5739955343
557	0.7437808631	0.5739338673
558	0.743773111	0.5739077461
559	0.7437304744	0.5738758145
560	0.7437769871	0.5738284344
561	0.7437808631	0.5738040484
562	0.7438002434	0.5737854576
563	0.7438312519	0.573769252
564	0.7438351279	0.5737414503
565	0.7438932688	0.5737107918
566	0.7439436576	0.5736735753
567	0.7439514097	0.5736507135
568	0.7439087731	0.5736234931
569	0.7439204012	0.5736108937
570	0.74397079	0.5735914503
571	0.743966914	0.5735637122
572	0.7440289309	0.5735262618
573	0.7440405591	0.5734927035
574	0.7440715676	0.5734722039
575	0.7440987	0.5734507235
576	0.744102576	0.573440618
577	0.7440987	0.5734150671
578	0.744102576	0.573389314
579	0.7440599394	0.5733655055
580	0.7440560633	0.5733359525
581	0.7440599394	0.5733108092
582	0.7440793197	0.5732878115
583	0.744102576	0.5732667635
584	0.7441103281	0.5732407308
585	0.7441103281	0.5732220604
586	0.7441297084	0.5732024589
587	0.7441413366	0.5731747933
588	0.7441452127	0.5731559875
589	0.7441180803	0.5731415033
590	0.7441878493	0.5731265236
591	0.7441956014	0.5731146219
592	0.7441994775	0.5730994903
593	0.7441956014	0.573067367
594	0.7441917254	0.5730535244
595	0.7441956014	0.5730319776
596	0.7442072296	0.5730082347
597	0.7443855283	0.5729605449
598	0.7444049086	0.572905795
599	0.7444204129	0.5728817966
600	0.7445056862	0.5728535985
601	0.7445018101	0.572826421
602	0.7444863059	0.5727979202
603	0.7445018101	0.5727852643
604	0.7444746777	0.5727637491
605	0.7445405707	0.5727391657
606	0.744559951	0.572713815
607	0.7445870834	0.5726977228
608	0.7445366947	0.5726623658
609	0.7445328186	0.572636712
610	0.7445677031	0.572616672
611	0.7445832074	0.5725930764
612	0.7446025877	0.5725667052
613	0.7446491004	0.5725423252
614	0.7446025877	0.5725232734
615	0.7446568525	0.5725039319
616	0.7447072413	0.5724804185
617	0.7447227455	0.5724291823
618	0.74475763	0.5724085896
619	0.7447460018	0.5723879215
620	0.74475763	0.5723557
621	0.7447498779	0.5723288868
622	0.744823523	0.5722904181
623	0.7448312751	0.5722770426
624	0.7448545315	0.5722573042
625	0.7448506554	0.572239406
626	0.744819647	0.5722178301
627	0.7448816639	0.5721991533
628	0.7448506554	0.5721778059
629	0.7448545315	0.5721504897
630	0.7449087963	0.5721235106
631	0.7449824415	0.5720961796
632	0.7449281766	0.5720725955
633	0.744951433	0.5720502176
634	0.7449475569	0.572038488
635	0.7449785654	0.5720210881
636	0.7449320527	0.5719975576
637	0.7449475569	0.5719804613
638	0.7449979457	0.5719376001
639	0.7450095739	0.571917968
640	0.745083219	0.5718961895
641	0.7450948472	0.5718690133
642	0.7450948472	0.5718456878
643	0.745087095	0.5718160902
644	0.7450754669	0.5717934837
645	0.7450987232	0.5717545346
646	0.745083219	0.5717245745
647	0.7451568641	0.5716953896
648	0.7451529881	0.5716713598
649	0.7451801205	0.5716425706
650	0.7451723683	0.5716292179
651	0.7451258556	0.5716150102
652	0.7451374838	0.571590231
653	0.7451607402	0.5715755947
654	0.7451684923	0.5715496694
655	0.7451723683	0.5715213819
656	0.7452498895	0.571499918
657	0.7452770219	0.5714773693
658	0.7452692698	0.5714573392
659	0.7452731459	0.5714433713
660	0.7452615177	0.5714213723
661	0.7452770219	0.5713990071
662	0.7453312868	0.5713781073
663	0.7453933037	0.5713468058
664	0.7453777995	0.5713368341
665	0.7454049319	0.571310148
666	0.7454243122	0.5712805321
667	0.7454243122	0.5712540317
668	0.7454320643	0.5712339111
669	0.7454281883	0.5712092572
670	0.7454475685	0.5711808159
671	0.7454320643	0.5711674293
672	0.7454165601	0.5711475735
673	0.7454204361	0.571130539
674	0.7454475685	0.5711058832
675	0.7454708249	0.5710906784
676	0.7454359404	0.5710672092
677	0.745412684	0.5710424457
678	0.7454708249	0.5710058278
679	0.7454475685	0.5709859069
680	0.7454630728	0.5709648209
681	0.7454436925	0.5709420358
682	0.7454320643	0.5709061068
683	0.7454514446	0.5708862438
684	0.7454591967	0.5708515109
685	0.7454553207	0.5708255547
686	0.7454669488	0.5707990292
687	0.7454940813	0.570771928
688	0.7455134616	0.5707539425
689	0.7455212137	0.5707262366
690	0.7455560982	0.5707018706
691	0.74554447	0.5706838124
692	0.7455367179	0.5706585539
693	0.7455793546	0.5706305165
694	0.7455793546	0.5706046251
695	0.745610363	0.57058214
696	0.7456452476	0.5705573176
697	0.7455948588	0.5705439708
698	0.7455948588	0.5705160301
699	0.7456181151	0.5704993646
700	0.7456374954	0.5704749627
701	0.7456374954	0.5704630209
702	0.7457072645	0.5704310287
703	0.7457343969	0.5704076361
704	0.7457460251	0.5703880409
705	0.7457809096	0.5703720691
706	0.745738273	0.5703534045
707	0.7457692815	0.5703409386
708	0.745808042	0.5703229644
709	0.7457847857	0.5702881439
710	0.7457537772	0.5702764464
711	0.7457499012	0.5702646576
712	0.7457537772	0.5702415625
713	0.7457576533	0.5702226179
714	0.7457809096	0.5701958928
715	0.7458312984	0.5701690182
716	0.7458274223	0.570149761
717	0.7458506787	0.5701273743
718	0.745870059	0.5700996941
719	0.7458816872	0.5700762334
720	0.7458623069	0.5700683609
721	0.7459010675	0.5700439291
722	0.7459049435	0.5700254726
723	0.745935952	0.5700073416
724	0.7459398281	0.5699852229
725	0.7459243238	0.5699284709
726	0.7459398281	0.5698962614
727	0.7459243238	0.5698801072
728	0.7459010675	0.5698411885
729	0.7459243238	0.5698295611
730	0.7459630844	0.569810495
731	0.7459785886	0.5697954616
732	0.7460095971	0.5697733878
733	0.7460483577	0.5697530065
734	0.7460716141	0.5697363653
735	0.7460328535	0.5697149612
736	0.7460367295	0.5697020079
737	0.7460832422	0.569677841
738	0.7460793662	0.5696675481
739	0.7460599859	0.5696537109
740	0.7461181268	0.5696341297
741	0.7460987465	0.5696122938
742	0.7461723916	0.5695759168
743	0.7461568874	0.5695596691
744	0.7461491353	0.5695449548
745	0.746133631	0.5695226645
746	0.7461530113	0.5694712815
747	0.7461258789	0.5694472214
748	0.7461181268	0.5694320731
749	0.7460948704	0.5694154803
750	0.7461452592	0.5693802395
751	0.746199524	0.5693486922
752	0.7462189043	0.5693292785
753	0.7461801437	0.5693142834
754	0.7462034001	0.5693009965
755	0.7462189043	0.5692804267
756	0.7462305325	0.5692591544
757	0.746195648	0.5692441089
758	0.7462150283	0.5692268179
759	0.7462227804	0.5692079823
760	0.7462189043	0.5691896976
761	0.7462111522	0.5691654932
762	0.7462344086	0.5691446026
763	0.7462731691	0.5691238819
764	0.7462964255	0.5691007753
765	0.7462770452	0.5690780019
766	0.7462731691	0.569057938
767	0.7463041776	0.5690388359
768	0.7463080537	0.5690222318
769	0.7463235579	0.5690120953
770	0.7463739467	0.5689891143
771	0.7464398397	0.5689785812
772	0.7464049552	0.5689619349
773	0.7463545664	0.5689492836
774	0.7463584424	0.5689282597
775	0.7464165833	0.5688975925
776	0.7464669721	0.5688791204
777	0.7464863524	0.5688564248
778	0.7465096088	0.5688383089
779	0.7465677496	0.5688143835
780	0.7465755018	0.5687995424
781	0.7465561215	0.5687846621
782	0.7465561215	0.5687456331
783	0.7465483693	0.5687227924
784	0.7465406172	0.5687119289
785	0.7465018566	0.5686957215
786	0.7464824763	0.5686792821
787	0.746525113	0.5686527648
788	0.7464979806	0.5686286575
789	0.7464979806	0.5686216046
790	0.7464863524	0.5686091012
791	0.7465057327	0.5685974313
792	0.7465367412	0.5685800336
793	0.7465173609	0.568561363
794	0.7465638736	0.5685395978
795	0.7465755018	0.5685308809
796	0.7466142623	0.5685209022
797	0.7466413948	0.5684910479
798	0.7466065102	0.5684781329
799	0.7466336426	0.5684618964
800	0.746656899	0.5684547754
801	0.7466685272	0.5684348347
802	0.746656899	0.5684191711
803	0.7466413948	0.5684048481
804	0.7466685272	0.5683824352
805	0.7466530229	0.5683540012
806	0.7466452708	0.5682982331
807	0.746656899	0.5682838803
808	0.7466879075	0.5682705489
809	0.7467072878	0.5682481611
810	0.7467072878	0.5682213398
811	0.7467305441	0.5682151887
812	0.7467266681	0.5681864644
813	0.7467189159	0.5681673419
814	0.7467344202	0.56813688
815	0.7467499244	0.56811222
816	0.7467809329	0.5680968889
817	0.7467809329	0.5680742443
818	0.7468003132	0.5680583733
819	0.7468313217	0.5680468932
820	0.7468041892	0.5680249861
821	0.7468623301	0.5680024654
822	0.7468429498	0.5679750058
823	0.746854578	0.5679353769
824	0.7468584541	0.5679201177
825	0.7468623301	0.567902109
826	0.7468662062	0.5678797149
827	0.746854578	0.5678600751
828	0.7468700822	0.5678373381
829	0.7468313217	0.5678133893
830	0.7468623301	0.5677933442
831	0.7468855865	0.5677695774
832	0.7469282231	0.5677475399
833	0.7469553556	0.5677341234
834	0.7469902401	0.5677107843
835	0.7470018683	0.5676878885
836	0.7470290007	0.5676604713
837	0.7470057443	0.5676521176
838	0.7470251246	0.5676392623
