,learning_rate,max_depth,n_estimators,subsample,colsample_bytree,subsample_for_bin,num_leaves,min_child_samples,score
277,0.2,25.0,1750.0,0.7,1.0,160000.0,31.0,20.0,0.7411216208438057
322,0.2,40.0,1750.0,1.0,1.0,160000.0,31.0,20.0,0.7411216208438057
247,0.2,,1750.0,0.9,1.0,160000.0,31.0,20.0,0.7411216208438057
319,0.2,40.0,1750.0,0.9,1.0,160000.0,31.0,20.0,0.7411216208438057
196,0.15,40.0,1600.0,0.8,1.0,160000.0,31.0,20.0,0.7409873179716429
238,0.2,,1600.0,1.0,1.0,160000.0,31.0,20.0,0.7409873179716429
202,0.15,40.0,1600.0,1.0,1.0,160000.0,31.0,20.0,0.7409873179716429
193,0.15,40.0,1600.0,0.7,1.0,160000.0,31.0,20.0,0.7409873179716429
235,0.2,,1600.0,0.9,1.0,160000.0,31.0,20.0,0.7409873179716429
229,0.2,,1600.0,0.7,1.0,160000.0,31.0,20.0,0.7409873179716429
265,0.2,25.0,1600.0,0.7,1.0,160000.0,31.0,20.0,0.7409873179716429
268,0.2,25.0,1600.0,0.8,1.0,160000.0,31.0,20.0,0.7409873179716429
232,0.2,,1600.0,0.8,1.0,160000.0,31.0,20.0,0.7409873179716429
271,0.2,25.0,1600.0,0.9,1.0,160000.0,31.0,20.0,0.7409873179716429
274,0.2,25.0,1600.0,1.0,1.0,160000.0,31.0,20.0,0.7409873179716429
199,0.15,40.0,1600.0,0.9,1.0,160000.0,31.0,20.0,0.7409873179716429
163,0.15,25.0,1600.0,0.9,1.0,160000.0,31.0,20.0,0.7409873179716429
166,0.15,25.0,1600.0,1.0,1.0,160000.0,31.0,20.0,0.7409873179716429
124,0.15,,1600.0,0.8,1.0,160000.0,31.0,20.0,0.7409873179716429
301,0.2,40.0,1600.0,0.7,1.0,160000.0,31.0,20.0,0.7409873179716429
304,0.2,40.0,1600.0,0.8,1.0,160000.0,31.0,20.0,0.7409873179716429
310,0.2,40.0,1600.0,1.0,1.0,160000.0,31.0,20.0,0.7409873179716429
121,0.15,,1600.0,0.7,1.0,160000.0,31.0,20.0,0.7409873179716429
307,0.2,40.0,1600.0,0.9,1.0,160000.0,31.0,20.0,0.7409873179716429
127,0.15,,1600.0,0.9,1.0,160000.0,31.0,20.0,0.7409873179716429
130,0.15,,1600.0,1.0,1.0,160000.0,31.0,20.0,0.7409873179716429
157,0.15,25.0,1600.0,0.7,1.0,160000.0,31.0,20.0,0.7409873179716429
160,0.15,25.0,1600.0,0.8,1.0,160000.0,31.0,20.0,0.7409873179716429
41,0.1,25.0,1450.0,0.8,1.0,200000.0,31.0,20.0,0.7409297595978588
44,0.1,25.0,1450.0,0.9,1.0,200000.0,31.0,20.0,0.7409297595978588
47,0.1,25.0,1450.0,1.0,1.0,200000.0,31.0,20.0,0.7409297595978588
2,0.1,,1450.0,0.7,1.0,200000.0,31.0,20.0,0.7409297595978588
74,0.1,40.0,1450.0,0.7,1.0,200000.0,31.0,20.0,0.7409297595978588
