iter	Accuracy	MultiClass
282	0.7445750192	0.573659202
283	0.7445990023	0.5735372284
284	0.7445894091	0.5734732561
285	0.744527053	0.5734143303
286	0.7445942057	0.5733792543
287	0.7446133922	0.5733085613
288	0.7446133922	0.5732645494
289	0.7446181888	0.573223141
290	0.7446613584	0.5731691164
291	0.7446805449	0.5731045462
292	0.7447381044	0.5730124518
293	0.7447381044	0.572949464
294	0.7447093246	0.5729279683
295	0.7447668841	0.5729206651
296	0.7448532233	0.5728066718
297	0.7449731389	0.5727432958
298	0.7449779355	0.5726817804
299	0.7450259018	0.5726148565
300	0.7449827322	0.5725495511
301	0.744997122	0.5725178405
302	0.7450450883	0.5724525247
303	0.7450594781	0.5724336293
304	0.7450402916	0.5723733223
305	0.7450067153	0.5723164549
306	0.745035495	0.5722752499
307	0.7450594781	0.5722466386
308	0.7451026477	0.5721896137
309	0.7451458173	0.5721487115
310	0.7450594781	0.572110172
311	0.745112241	0.5720183423
312	0.7452225633	0.5719369895
313	0.7452369532	0.5719045067
314	0.7452753262	0.5718446921
315	0.7452993093	0.5718019774
316	0.7452801228	0.5717588824
317	0.7452753262	0.5717116374
318	0.745366462	0.5716444403
319	0.7454480046	0.5715819446
320	0.7455295472	0.5715403872
321	0.7455055641	0.5715275063
322	0.745519954	0.5714607712
323	0.7455679202	0.5713997622
324	0.7455775134	0.5713545983
325	0.7455295472	0.5712807251
326	0.7455487337	0.5712259203
327	0.7456062932	0.5711954393
328	0.7456686493	0.5711720416
329	0.7456398695	0.5711211769
330	0.7456926324	0.5710695841
331	0.7457214121	0.5710013619
332	0.7458269378	0.5708922311
333	0.7457837682	0.5708383083
334	0.7458653108	0.5707756516
335	0.7459372602	0.5707395619
336	0.7458653108	0.5707059291
337	0.7459660399	0.5706449583
338	0.7459324635	0.5706037477
339	0.7459948196	0.5705805145
340	0.7459948196	0.5705204604
341	0.7459996163	0.5704647672
342	0.7459420568	0.5704016349
343	0.7459468534	0.5703116165
344	0.7459564467	0.5702569495
345	0.7459996163	0.5701678996
346	0.7459324635	0.5701119434
347	0.7460475825	0.5700475543
348	0.746181888	0.5699980334
349	0.7461387183	0.5699809476
350	0.7461291251	0.5699250352
351	0.7461962778	0.5698949488
352	0.7462394474	0.5698479226
353	0.7462970069	0.5698253824
354	0.7462730238	0.5697864101
355	0.7463689563	0.5697268841
356	0.7463929394	0.5696824305
357	0.7463833461	0.5696627523
358	0.7463689563	0.5696163651
359	0.7463353799	0.5695865954
360	0.7463737529	0.5695261926
361	0.7464504988	0.5694396493
362	0.7465080583	0.5693945447
363	0.7465608212	0.5693394499
364	0.7464696853	0.5693097302
365	0.7465464313	0.5692688792
366	0.7465752111	0.5692232255
367	0.7465656178	0.5691900623
368	0.7465704144	0.5691581606
369	0.7465368381	0.5691199352
370	0.7466231773	0.5690582458
371	0.7466855334	0.5690000312
372	0.7467143131	0.5689607607
373	0.7467910591	0.5688966575
