,Unnamed: 0,Unnamed: 0.1,subsample,gamma,learning_rate,max_depth,score
193,106,117,0.95,0.5,0.55,3.0,0.7289959900999597
194,107,45,0.825,0.5,0.55,3.0,0.728919245601581
195,108,57,0.825,1.0,0.55,3.0,0.7288425011032021
196,109,21,0.75,1.0,0.55,3.0,0.7288233149786074
197,110,84,0.885,0.5,0.55,12.0,0.7286314537326607
198,111,24,0.75,1.0,0.55,12.0,0.7285930814834711
199,112,105,0.885,1.5,0.55,3.0,0.7284012202375242
200,113,4,0.75,0.5,0.425,12.0,0.7282669173653614
201,114,33,0.75,1.5,0.55,3.0,0.7280558699948197
202,115,69,0.825,1.5,0.55,3.0,0.7279791254964408
203,116,141,0.95,1.5,0.55,3.0,0.7277680781258995
204,117,37,0.825,0.5,0.425,3.0,0.7264634216534603
205,118,48,0.825,0.5,0.55,12.0,0.7261948159091345
206,119,8,0.75,0.5,0.45,12.0,0.7260796991615662
207,120,5,0.75,0.5,0.45,3.0,0.7257535350434565
208,121,77,0.885,0.5,0.45,3.0,0.7257151627942671
209,122,41,0.825,0.5,0.45,3.0,0.7256576044204831
210,123,133,0.95,1.5,0.425,3.0,0.7256192321712938
211,124,17,0.75,1.0,0.45,3.0,0.725600046046699
212,125,113,0.95,0.5,0.45,3.0,0.7254849292991309
213,126,137,0.95,1.5,0.45,3.0,0.7254849292991309
214,127,121,0.95,1.0,0.425,3.0,0.7251395790564263
215,128,85,0.885,1.0,0.425,3.0,0.725101206807237
216,129,125,0.95,1.0,0.45,3.0,0.7250436484334529
217,130,65,0.825,1.5,0.45,3.0,0.7250052761842636
218,131,109,0.95,0.5,0.425,3.0,0.7249669039350741
219,132,61,0.825,1.5,0.425,3.0,0.7249669039350741
220,133,53,0.825,1.0,0.45,3.0,0.7248709733121007
221,134,101,0.885,1.5,0.45,3.0,0.7246982981907485
222,135,25,0.75,1.5,0.425,3.0,0.7243913201972333
223,136,89,0.885,1.0,0.45,3.0,0.724352947948044
224,137,1,0.75,0.5,0.425,3.0,0.7242953895742599
225,138,13,0.75,1.0,0.425,3.0,0.7242378312004758
226,139,97,0.885,1.5,0.425,3.0,0.7241994589512865
227,140,49,0.825,1.0,0.425,3.0,0.7241227144529078
228,141,29,0.75,1.5,0.45,3.0,0.7241227144529078
229,142,12,0.75,0.5,0.55,12.0,0.7239692254561502
230,143,73,0.885,0.5,0.425,3.0,0.7237773642102032
