,subsample,gamma,learning_rate,max_depth,score
129,0.95,1.0,0.55,3.0,0.7293413403426642
120,0.95,0.5,0.55,12.0,0.7293029680934748
81,0.885,0.5,0.55,3.0,0.7292454097196907
117,0.95,0.5,0.55,3.0,0.7289959900999597
45,0.825,0.5,0.55,3.0,0.728919245601581
57,0.825,1.0,0.55,3.0,0.7288425011032021
21,0.75,1.0,0.55,3.0,0.7288233149786074
84,0.885,0.5,0.55,12.0,0.7286314537326607
24,0.75,1.0,0.55,12.0,0.7285930814834711
105,0.885,1.5,0.55,3.0,0.7284012202375242
4,0.75,0.5,0.425,12.0,0.7282669173653614
33,0.75,1.5,0.55,3.0,0.7280558699948197
69,0.825,1.5,0.55,3.0,0.7279791254964408
141,0.95,1.5,0.55,3.0,0.7277680781258995
37,0.825,0.5,0.425,3.0,0.7264634216534603
48,0.825,0.5,0.55,12.0,0.7261948159091345
8,0.75,0.5,0.45,12.0,0.7260796991615662
5,0.75,0.5,0.45,3.0,0.7257535350434565
77,0.885,0.5,0.45,3.0,0.7257151627942671
41,0.825,0.5,0.45,3.0,0.7256576044204831
133,0.95,1.5,0.425,3.0,0.7256192321712938
17,0.75,1.0,0.45,3.0,0.725600046046699
113,0.95,0.5,0.45,3.0,0.7254849292991309
137,0.95,1.5,0.45,3.0,0.7254849292991309
121,0.95,1.0,0.425,3.0,0.7251395790564263
85,0.885,1.0,0.425,3.0,0.725101206807237
125,0.95,1.0,0.45,3.0,0.7250436484334529
65,0.825,1.5,0.45,3.0,0.7250052761842636
109,0.95,0.5,0.425,3.0,0.7249669039350741
61,0.825,1.5,0.425,3.0,0.7249669039350741
53,0.825,1.0,0.45,3.0,0.7248709733121007
101,0.885,1.5,0.45,3.0,0.7246982981907485
25,0.75,1.5,0.425,3.0,0.7243913201972333
89,0.885,1.0,0.45,3.0,0.724352947948044
1,0.75,0.5,0.425,3.0,0.7242953895742599
13,0.75,1.0,0.425,3.0,0.7242378312004758
97,0.885,1.5,0.425,3.0,0.7241994589512865
49,0.825,1.0,0.425,3.0,0.7241227144529078
29,0.75,1.5,0.45,3.0,0.7241227144529078
12,0.75,0.5,0.55,12.0,0.7239692254561502
73,0.885,0.5,0.425,3.0,0.7237773642102032
